,rank,trial,l_1 ratio,score,silhouete score,rmse
193,4,3,0.5,0.7591965302005536,0.7609054509445673,0.27787738739061424
194,4,4,0.5,0.7625475946297963,0.7544163550043133,0.28345142372189275
195,5,0,0.5,0.7666458028030553,0.6742389242726348,0.268228790672703
196,5,1,0.5,0.7729760569139748,0.6588254181960401,0.21667460653811343
197,5,2,0.5,0.7820797674436519,0.6933404602270191,0.21173387673190622
198,5,3,0.5,0.7596807835094582,0.6672667481932703,0.21120276538943547
199,5,4,0.5,0.7062511688368909,0.38595215563434676,0.21767594173582916
200,7,0,0.5,0.7697453636069659,0.6459222765782011,0.12442010716238941
201,7,1,0.5,0.7337561414189528,0.21550565132721353,0.1357302322958851
202,7,2,0.5,0.788479553054125,0.6480493916048093,0.1376899717468891
203,7,3,0.5,0.7596138894566129,0.6548186504912534,0.1369575493697498
204,7,4,0.5,0.8027545168508996,0.7019809237808544,0.1384362982087734
205,9,0,0.5,0.789605122907452,0.7551017343385747,0.10009661165115728
206,9,1,0.5,0.766646068692878,0.6166593940378828,0.11818930177842818
207,9,2,0.5,0.8017966419322172,0.6885257457534364,0.11975378073841597
208,9,3,0.5,0.8091967840947633,0.5663674509286309,0.11068517312617399
209,9,4,0.5,0.7853217885347131,0.48901599928692846,0.10091603859369981
210,12,0,0.5,0.8068814546326505,0.6212661434088452,0.06340963283940124
211,12,1,0.5,0.7749753940659093,0.5471041563000534,0.064155097993053
212,12,2,0.5,0.793241140666426,0.7058036214164846,0.04935956308820869
213,12,3,0.5,0.7908973308368122,0.7133546091060283,0.06470904773449587
214,12,4,0.5,0.8256553194583193,0.5697686006975186,0.08293725979007859
215,16,0,0.5,0.7699994588341935,0.5143735304480141,0.027904514009385196
216,16,1,0.5,0.795427858975837,0.495093886968819,0.023467765194618035
217,16,2,0.5,0.7988298777478821,0.5755131835393257,0.032649546905481164
218,16,3,0.5,0.7552060054251499,0.25480385586932147,0.030332025313233524
219,16,4,0.5,0.7961518584646395,0.5359458214180893,0.051973431724110064
220,21,0,0.5,0.8119476316048028,0.6150389681055728,0.011406157406426875
221,21,1,0.5,0.7844099503878472,0.5600824764011091,0.015922125398906008
222,21,2,0.5,0.806403521295465,0.5247190209627379,0.030645303639585675
223,21,3,0.5,0.7708633496586852,0.6803443702583265,0.015750965092432883
224,21,4,0.5,0.8045937921419984,0.5176633654328388,0.01835213680953202
225,28,0,0.5,0.7784009836088591,0.38989860913317187,0.0032714224207273956
226,28,1,0.5,0.7820251659929288,0.5902285021695209,0.005661854866963384
227,28,2,0.5,0.8061686813193434,0.6017841179769512,0.007271743912688496
228,28,3,0.5,0.7784391633616208,0.5565134791028514,0.007497475330678832
229,28,4,0.5,0.8084553117978436,0.5643932290754173,0.009011921790494756
230,37,0,0.5,0.7982852449246951,0.6925519238659447,0.004442848703405128
231,37,1,0.5,0.802345191498281,0.4626684318251731,0.0035925966025212096
232,37,2,0.5,0.8057360515318697,0.6323648511922475,0.0034282966023224614
233,37,3,0.5,0.8231067844184692,0.5323107742715254,0.0028786096193344664
234,37,4,0.5,0.782573233941205,0.33503626363581923,0.0032794028757871588
235,49,0,0.5,0.8117761469643354,0.45321744267732583,0.00046930641476362975
