,rank,trial,l_1 ratio,score,silhouete score,rmse
79,5,4,0.1,0.7696548682857188,0.6959876468302414,0.6765234122165668
80,7,0,0.1,0.7967014199482647,0.7564956859494102,0.44925289623230213
81,7,1,0.1,0.8122218519877652,0.6933761849389389,0.462008092369885
82,7,2,0.1,0.8001768511522098,0.6462074366193388,0.44637665265623877
83,7,3,0.1,0.7793692348606187,0.7351147183983754,0.4585889645664116
84,7,4,0.1,0.7873264712078117,0.7216739034077404,0.40826754504423823
85,9,0,0.1,0.7888286869444775,0.7526025358306733,0.32545167417607007
86,9,1,0.1,0.7823771891969648,0.5046680139496772,0.2974739499596817
87,9,2,0.1,0.8069334720956122,0.7082649149852371,0.2999048602582752
88,9,3,0.1,0.7923167134496213,0.7267597279072888,0.34631768563023807
89,9,4,0.1,0.8025017410946086,0.4919531421972828,0.3623196711156213
90,12,0,0.1,0.7957257733258543,0.7501418867194578,0.1929080088618959
91,12,1,0.1,0.8023453098655298,0.7373361609374128,0.21688281099354942
92,12,2,0.1,0.7671963149113488,0.4028591922747795,0.27809366235700267
93,12,3,0.1,0.7889524059974621,0.7449039621804541,0.2123449369572456
94,12,4,0.1,0.767571708305824,0.5389273958596693,0.21933786020304796
95,16,0,0.1,0.760019756258011,0.339963609947279,0.15542850672564493
96,16,1,0.1,0.7719742695180244,0.3526047112255951,0.14593537595622147
97,16,2,0.1,0.8109734065587367,0.544502447573882,0.22109861494743702
98,16,3,0.1,0.7553653940678978,0.24826212374229156,0.17754074021188856
99,16,4,0.1,0.7580420362571871,0.45320264252266274,0.1730683804319992
100,21,0,0.1,0.7632914168896894,0.17907804393585458,0.15305248578524774
101,21,1,0.1,0.8013426729866538,0.47004137266665463,0.09396366720993642
102,21,2,0.1,0.754857822236338,0.22138244968951193,0.1543156613273546
103,21,3,0.1,0.7475231953381203,0.21697807582805767,0.19496988137431462
104,21,4,0.1,0.7650999528871412,0.14453476813888666,0.14722504465311564
105,28,0,0.1,0.7679105655689009,-0.009760606995671765,0.09875253757553913
106,28,1,0.1,0.735075040841354,0.04948678401590817,0.11827693512763815
107,28,2,0.1,0.7433232823518878,0.1461201526277683,0.13078531896943352
108,28,3,0.1,0.7510762659359994,0.09199532292640161,0.08912654767372244
109,28,4,0.1,0.7503716191653702,0.0707586830001532,0.1151624544118199
110,37,0,0.1,0.7460274370804927,0.01092493019453622,0.08049232314834105
111,37,1,0.1,0.7368974817879878,0.03365064368020146,0.07910880245395337
112,37,2,0.1,0.7704314709069044,0.05659983638057239,0.10433070828001827
113,37,3,0.1,0.7411818430378428,0.019938252104168337,0.05522324869896205
114,37,4,0.1,0.7499237286901821,-0.007670143116011783,0.08932026543387096
115,49,0,0.1,0.726918487164081,-0.13253498982194353,0.07242023497321717
116,49,1,0.1,0.7293375672364102,-0.17623181301432678,0.08117582667700347
117,49,2,0.1,0.7734719671167507,-0.0990568421181455,0.03580645089199282
118,49,3,0.1,0.7316392307248244,-0.09555618697106055,0.07227966853887395
119,49,4,0.1,0.7319773198456179,-0.09917361300018906,0.1057439108939312
120,2,0,0.2,0.6569390608223007,0.5196205289401011,1.3722955629150981
121,2,1,0.2,0.6094935955209088,0.5113318537762747,1.3686141901788986
